run_id,case_id,layout,seed,alpha_mps2,active_indices,prefix_indices,first_prefix_safety_vehicle,first_prefix_safety_time_s,first_prefix_safety_gap_m,first_prefix_collision_time_s,source,first_crossing_verified
724d55d57106fc96,middle_idm_leader_d02,middle,191,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,15.9,3.708557378229017,17.0,results/nonlinear_revision/failure_log.jsonl,True
afc959a9b107c070,rear_idm_leader_d02,rear,3,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",29.0,48.6,3.636551883881338,50.400000000000006,results/nonlinear_revision/failure_log.jsonl,True
a3f737405d746e54,rear_idm_leader_d02,rear,11,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",21.0,36.9,3.802399408080433,38.900000000000006,results/nonlinear_revision/failure_log.jsonl,True
a26a61de6d954ac9,rear_idm_leader_d02,rear,47,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",30.0,49.8,3.616167705489517,50.7,results/nonlinear_revision/failure_log.jsonl,True
502a02804b5f5703,rear_idm_leader_d02,rear,61,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",21.0,36.9,3.7604069191561393,38.900000000000006,results/nonlinear_revision/failure_log.jsonl,True
0ab18bdcce93e37f,rear_idm_leader_d02,rear,79,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",22.0,38.3,3.949084452965877,40.300000000000004,results/nonlinear_revision/failure_log.jsonl,True
89b79c13b301592f,rear_idm_leader_d02,rear,97,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",30.0,50.2,3.914491218047431,52.400000000000006,results/nonlinear_revision/failure_log.jsonl,True
1efa8a30e720198c,rear_idm_leader_d02,rear,113,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",23.0,39.900000000000006,3.993177053011905,42.0,results/nonlinear_revision/failure_log.jsonl,True
d58f2f3c33780174,rear_idm_leader_d02,rear,149,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",19.0,33.9,3.9232985430111,35.800000000000004,results/nonlinear_revision/failure_log.jsonl,True
79b7b21ee4001353,rear_idm_leader_d02,rear,167,1.5,"[37,38,39,40]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]",24.0,41.8,3.996836313645588,43.6,results/nonlinear_revision/failure_log.jsonl,True
